ID de la campaña;Nombre de la campaña;Fecha de campaña;Estado de la campaña;Tipo de campaña;Categoria de campaña;Interes principal de la campaña;Intereses de la campaña;Oradores de campaña;Descripcion de campaña;Lugar de campaña;La campaña es online;La campaña es hibrida;La campaña es una reunion grupal;Cupo maximo de la campaña;Inscriptos de la campaña;Asistentes de la campaña
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
