ID de la campaña;ID del contacto;ID de la asistencia;El contacto asistio a la campaña
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx
